linijka;nazwa;cena_jedn;kategoria_podatku;ilość;całkowita_cena;quantity;jednostka
C_SER FAVITA 2700 1 x 6,15 6,15C;SER FAVITA 2700;6,15;C;1;6,15;;
B_ZELATYNA SPOZY 50G 1 x 4,99 4,99B;ZELATYNA SPOZY 50G;4,99;B;1;4,99;;G
C_JAJA SPOZ.10M 4 x 10,99 43,96C;JAJA SPOZ. 10ML;10,99;C;4;43,96;;ML
C_BANANY LUZ 0,945 x 3,99 3,30C;BANANY LUZ;3,99;C;0,945;3,30;;
PerłaChmie.But0,5L H 2SzZT x3,89 7,78A;Perła Chmie. But 0,5L;3,89;A;2;7,78;;L
YanoHamburger200g t 3SZT x2,79 8,37C;Yano Hamburger 200g;2,79;C;3;8,37;;G
SierpcSerekCapri220g* t 1SZT x5,99 5,99C;Sierpc Serek Capri 220g;5,99;C;1;5,99;;G
SierpcSerekCapri220g* t 1SZT x5,99 5,99C;Sierpc Serek Capri 220;5,99;C;1;5,99;;SZT
SierpcSerekCapri220g* t 1SZT x5,99 5,99C;Sierpc Serek Capri 220g;5,99;C;1;5,99;;G
SierpcSerekCapri220g* t1SZT x5,99 5,99C;Sierpc Serek Capri 220g;5,99;C;1;5,99;;G
KLC.SerGouda300gpl t 1SZT x6,99 6,99C;KLC. Ser Gouda 300g pl;6,99;C;1;6,99;;G
KLt.SerEdamski300gpl t 1SzT x6,99 6,99C;KLt. Ser Edamski 300g pl;6,99;C;1;6,99;;G
S1erpcSerektapr1220g* t 1SzT x5,99 5,99C;S1erpc Serektapr 1220g;5,99;C;1;5,99;;G
S1erQpcSerekCapr1220g* t 1SzT x5,99 5,99C;S1er Qpc Serek Capr 1220g;5,99;C;1;5,99;;G
SierQcSerekCapri220g* t 1SzT x5,99 5,99C;Sier Qc Serek Capri 220g;5,99;C;1;5,99;;G
S1erQcSerekCapri1220g* t 1SzT x5,99 5,99C;Ser Qc Serek Capri 1220g;5,99;C;1;5,99;;G
SierpcSerekCapri220g* t 1SZT x5,99 5,99C;Sierpc Serek Capri 220g;5,99;C;1;5,99;;G
SierpcSerekCapri220g* t 1SZT x5,99 5,99C;Sierpc Serek Capri 220g;5,99;C;1;5,99;;G
K.Ser Topiony 100g t 2SZT x2,19 4,38C;Ser Topiony 100g;2,19;C;2;4,38;;G
Śmietana18%t1.300g* t 1SZT x4,59 4,59C;Śmietana 18% t. 300g;4,59;C;1;4,59;;G
STD.TwarógWędz275g t 2SZT x4,49 8,98C;STD. Twaróg Wędz 275g;4,49;C;2;8,98;;G
BigActiveHerbata40g i 1SZT x5,99 5,99B;Big Active Herbata 40g;5,99;B;1;5,99;;G
BigActiveHerbata40g i 2SZT x5,99 11,98B;Big Active Herbata 40g;5,99;B;2;11,98;;G
Bu1ka poznańska 75g t 9SZT x0,69 6,21C;Buka poznańska 75g;0,69;C;9;6,21;;G
SierpcSerekCapri220g* t 1S2T x5,99 5,99C;Sierpc Serek Capri 220g;5,99;C;1;5,99;;G
SierpcSerekCapri220g* t 1SZT x5,99 5,99C;Sierpc Serek Capri 220g;5,99;C;1;5,99;;G
KLC.SerGouda300gpl t 1SZT x6,99 6,99C;KLC. Ser Gouda 300g pl;6,99;C;1;6,99;;G
KLC.SerEdamski300gpl t 1SZT x6,99 6,99C;KLC. Ser Edamski 300g pl;6,99;C;1;6,99;;G
SierpcSerekCapri220g* t 1SZT x5,99 5,99C;Sierpc Serek Capri 220g;5,99;C;1;5,99;;G
SierpcSerekCapri220g* t 1SZT x5,99 5,99C;Sierpc Serek Capri 220g;5,99;C;1;5,99;;G
SierpcSerekCapri220g* t 1SZT x5,99 5,99;Sierpc Serek Capri 220g;5,99;;1;5,99;;G
SierpcSerekCapri220g* t 1SZT x5,99 5,99C;Sierpc Serek Capri 220g;5,99;C;1;5,99;;G
SierpcSerekCapri220g* t 1SZT x5,99 5,99;Sierpc Serek Capri 220g;5,99;;1;5,99;;G
SierpcSerekCapri220g* t 1SZT x5,99 5,99;Sierpc Serek Capri 220g;5,99;;1;5,99;;G
K.Ser Topiony 100g t 2SZT x2,19 4,38C;Ser Topiony 100g;2,19;C;2;4,38;;G
Śmietana18%t1.300g* t 1SZT x4,59 4,59C;Śmietana 18% t. 300g;4,59;C;1;4,59;;G
STD.TwarógWędz275g t 2SZT x4,49 8,98C;STD. Twaróg Wędz 275g;4,49;C;2;8,98;;G
BigActiveHerbata40g i 1SZT x5,99 5,99B;Big Active Herbata 40g;5,99;B;1;5,99;;G
Bi9ActiveHerbata4Og i 2SZT x5,99 11,98B;Bi Active Herbata 4Og;5,99;B;2;11,98;;G
Bu1ka poznańska 75g t 9SzT x0,69 6,21C;Bułka poznańska 75g;0,69;C;9;6,21;;G
HeinzKetchup1OO0G 1 1SZT x15,99 15,99B;Heinz Ketchup 1OO0G;15,99;B;1;15,99;;G
MajonezDekorac4OOML i 2SZT x5,99 11,98B;Majonez Dekorac 4OOML;5,99;B;2;11,98;;ML
KLC.TortillaPsze370g t 2SZT x4,82 9,64C;KLC. Tortilla Psze 370g;4,82;C;2;9,64;;G
OlejWielkopolski1l t 3SZT x8,49 25,47C;Olej Wielkopolski 1l;8,49;C;3;25,47;;L
KucharekRosółWołowy t 3SZT x4,19 12,57C;Kucharek Rosół Wołowy;4,19;C;3;12,57;;SZT
FamilijneWafle180g t 1SZT x4,49 4,9C;Familijne Wafle 180g;4,49;C;1;4,49;;G
FamilijneWafle180g t 1SZT x4,494,49C;Familijne Wafle 180g;4,49;C;1;4,49;;G
FamilWafGofWani130g t 1SZT x3,99 3,99C;Famil Waf Gof Wani 130g;3,99;C;1;3,99;;G
CukierkiKopaln80g H 1SZT x3,79 3,79A;Cukierki Kopaln 80g;3,79;A;1;3,79;;G
Nimm2Śmiejżelki100g H 1SZT x2,79 2,79A;Nimm2 Śmiejżelki 100g;2,79;A;1;2,79;;G
StorckDzunglaki9Og H 1SZT x2,79 2,79A;Storck Dzunglaki 9Og;2,79;A;1;2,79;;G
Nimm2ŚmiejSłodSad90g H 1SZT x2,79 2,79A;Nimm2 Śmiej Słod Sad 90g;2,79;A;1;2,79;;G
MambaGuma106g H 1SZT x3,59 3,59A;Mamba Guma 106g;3,59;A;1;3,59;;G
Bu#kiHambSezam30Og t 3SZT x6,65 19,95C;Buki Hamb Sezam 30Og;6,65;C;3;19,95;;G
K.ChlebTost.Psz5OOg t 1SZT x2,99 2,99C;Chleb Tost. Psz 5OOg;2,99;C;1;2,99;;G
7DaysMaxRogalOrze6OG t 3SZT x2,99 8,97;7Days Max Rogal Orze 6OG;2,99;;3;8,97;;G
KLC.JajascM2Oszt t 36ZT x15,99 47,97C;KLC. Jajasc M2O szt;15,99;C;3;47,97;;SZT
 BieluchSzpinak150G t 1SZT x3,39 3,39C;Bieluch Szpinak 150G;3,39;C;1;3,39;;G
BieluchSzpinak15OG t 16ZT x3,39 3,39C;Bieluch Szpinak 15OG;3,39;C;1;3,39;;G
SłynneMRRośl1nne75Og t 1SZT x9,99 9,99C;Słynne MRRoślinne 75Og;9,99;C;1;9,99;;G
BieluchSzp1nak150G t 1SZT x3,39 3,39C;Bieluch Szpinak 150G;3,39;C;1;3,39;;G
Ziemmaki 5kg t 2SZT x6,99 13,98C;Ziemmaki 5kg;6,99;C;2;13,98;;KG
Ogorki polskie kg t 0,18KG x11,99 2,16C;Ogorki polskie kg;11,99;C;0,18;2,16;;KG
Bułka poznańska 75g t 6SZT x0,69 4,14C;Bułka poznańska 75g;0,69;C;6;4,14;;G
MąkaTortowaSzcz2,5KG t 4SZT x4,99 19,96C;Mąka Tortowa Szcz 2,5KG;4,99;C;4;19,96;;KG
MakaronNitki25OG t 2SZT x2,59 5,18C;Makaron Nitki 25OG;2,59;C;2;5,18;;G
HelioMieszanka3O0g t 1SZT x8,89 8,89C;Helio Mieszanka 300g;8,89;C;1;8,89;;G
HelioMieszanka3O0Og t 1SZT x8,89 8,89C;Helio Mieszanka 3000g;8,89;C;1;8,89;;G
HelioMieszanka3OOg t 1SZT x8,89 8,89C;Helio Mieszanka 3OOg;8,89;C;1;8,89;;G
Hel1oM1eszanka300g t 1SZT x8,89 8,89C;Helio Mieszanka 300g;8,89;C;1;8,89;;G
K:SerToPpiony1O0g t 1szr 3 1a 9:4c;Ser Topiony 1O0g;3,19;C;3;;;G
K.ser Topiony 1Qps  1az7 2,19 2,19C;ser Topiony 1Qps;2,19;C;1;2,19;;SZT
Belris ęa7siYo9 ,1SZT x2,19 2,19C;Belris ęa7siYo9;2,19;C;1;2,19;;SZT
pskx*3 SPeć18 200 t 4SZT x2,99 11,96C;pskx3 SPeć 200;2,99;C;4;11,96;;SZT
Rodz1nna0woceLeś200g i 1szr 6 99 5,oB;Rodzinna Owoce Leś 200g;6,99;B;1;6,99;;G
VerdinZioMali20xi,89 1 1s7T 3,99 ,99B;Verdin Zio Mali 20,89;3,99;B;1;3,99;;SZT
VerdinFixHerbz2iai369 x 3sT 4,99 4,99B;Verdin Fix Herbziai 369;4,99;B;1;4,99;;SZT
FitoAptekaHer54Os9  S27 X4,99 9,98A;Fito Apteka Her 54Os9;4,99;A;2;9,98;;SZT
HsliAM1sk9nb4O9 1 1SZT x6,99 6,99B;Hsli AMisknb 4O9;6,99;B;1;6,99;;SZT
RsksóTesznkad009* t 1SZT x8,89 8,89c;Rsksó Tesznkad 009;8,89;C;1;8,89;;SZT
V1fonZupaKurczak2Z3ot t 6szTr x1, 79 10,990;Vifon Zupa Kurczak 2Z3ot;1,79;0;6;10,74;;SZT
QeiaMeezanka3oov c 1szr xa, a 8,880;Qeia Meezanka oov;8,88;0;1;8,88;;SZT
KTYTrt1e370w t 4szr x6,o7 28,286;KTYTrtie 370;7,07;;4;28,28;;SZT
3ąU:thrz: y t 1SZT x3,49 3,49C;ąUthrz y;3,49;C;1;3,49;;SZT
23/0skrobabwrwer300g t 3SZT x3,99 11'9rr;Oskrobabwrwer 300g;3,99;;3;11,97;;G
BułkiHotDog250g 1 1S7r, 91'2,76;Bułki Hot Dog 250g;2,76;;1;2,76;;G
7DawskakaoWanY11n t 3a7 3,4n 9,41C;7 Dawskakao Wan Yin;3,13;C;3;9,41;;""
psa7xk.oRankiuU9 t źS7 X3,99 7,98C;psaxk. o Rankiu U9;3,99;C;2;7,98;;SZT
C9tetowDrob1owa t 1S2T x2,79 2,79C;C9tetow Drobiowa;2,79;C;1;2,79;;SZT
STD.Salami0stródzk1e* t 1SZT x6,94 6,94C;STD. Salami 0 stródzke;6,94;C;1;6,94;;SZT
STDSzynkkonsKurc1O0g* t 1szr x3, 99 3,480;STD Szynkkons Kurc 1O0g;3,99;C;1;3,99;;G
ŚTD.POLE DRoB 25O G* t 1szTr x9,99 9,99C;ŚTD. POLE DRoB 25O G;9,99;C;1;9,99;;G
STDSzynkKonsKurc100g* t 1szTr x3, 99 3,99C;STD Szynk Kons Kurc 100g;3,99;C;1;3,99;;G
STDSzynkKonsKurc1OOg* t 1szTr x3, 99 3,99C;STD Szynk Kons Kurc 1OOg;3,99;C;1;3,99;;G
STDSzynkKoneKurc1OOg* t 1szT x3, 99 3,99C;STD Szynk Kone Kurc 1OOg;3,99;C;1;3,99;;G
KrakusParówkPierśKur* t 1SzT x7,29 7,29c;Krakus Parówk Pierś Kur;7,29;C;1;7,29;;SZT
KrakusParówkP1earśKur* t 1SZT x7,29 7,29c;Krakus Parówk Piearś Kur;7,29;C;1;7,29;;SZT
KrakusParówkP1erśKur* t 1SZT x7,29 7,29C;Krakus Parówk Pierś Kur;7,29;C;1;7,29;;SZT
KrakusParówkPierśKur* t 1SZT x7,29 7,29C;Krakus Parówk Pierś Kur;7,29;C;1;7,29;;SZT
KrakusParówkPierśKur* t 1SZT x7,29 7,29c;Krakus Parówk Pierś Kur;7,29;C;1;7,29;;SZT
KrakusParówkPierśKur* t 1SZT x7,29 7,29C;Krakus Parówk Pierś Kur;7,29;C;1;7,29;;SZT
KWIATY SZTUCZNE x210,00 210,00A;KWIATY SZTUCZNE;210,00;A;1;210,00;;
PAPIEROSY1 x19,99 19,99A;PAPIEROSY;19,99;A;1;19,99;;
CHLĘP C 1 -*12.00 12,00C;CHLĘP;12,00;C;1;12,00;;
BUKA TARTA C 1-*9.,94 9,94C;BUKA TARTA;9,94;C;1;9,94;;
_MAKAR. ŚWID. 400G 3 x 3,49 10,47C;MAKAR. ŚWID. 400G;3,49;C;3;10,47;;G
P_MIESZANKA STU 15OG 2 x 7,99 15,98C;MIESZANKA STU 15OG;7,99;C;2;15,98;;G
C_ALMETTE MI% 15OG 3 x 6,19 18,57C;ALMETTE MI 15OG;6,19;C;3;18,57;;G
C_MAM.PEST.DYNI 15OG 1  5,O0 S,00C;MAM. PEST. DYNI 15OG;5,00;C;1;5,00;;G
A_LE CHEF 12O SZT 2 x 2,69 5,389;LE CHEF 12O SZT;2,69;;2;5,38;;SZT
C_KAJZERKA 50 G 10 x 0,39 3,90C;KAJZERKA 50 G;0,39;C;10;3,90;;G
C_SEREK HOM0G.150G 2 x 3,35 6,70C;SEREK HOM0G. 150G;3,35;C;2;6,70;;G
 C_OGÓREK 1SZT. 3 x 2,99 8,97;OGÓREK 1SZT.;2,99;;3;8,97;;SZT
 C_BANANY LUZ 1 175 x 6,99 8,21C;BANANY LUZ;6,99;C;1,175;8,21;;
 C_TWAROG PÓŁ.LUZ 0,807 x 5,58 4,50C;TWAROG PÓŁ. LUZ;5,58;C;0,807;4,50;;
yannyasśPnpoW4VUH iST 17,49 17,49A;yannyasśPnpoW4VUH;17,49;A;1;17,49;;SZT
nonpur9er200Og t 3S27T x2,63 7,89C;nonpur9er 200Og;2,63;C;3;7,89;;G
KLCPap1Szt H 1x7r *3'39 9'99*;KLC Pap;3,39;;3;9,99;;""
FoxyTornado1s y e:5Ś!,X,29,2,29A;Foxy Tornadois;2,29;A;1;2,29;;
OPpUŚr -'  Zv:2 H l9T x19,89 19,89A;OPpUŚr;19,89;A;1;19,89;;""
LudwikPłynNaczynia9OOk 47ra ą o:4;Ludwik Płyn Naczynia 9OOk;4,49;;1;;;
Schabcvańek''Vo91,1S1 X8,69 8,69A;SchabcvańekVo;8,69;A;1;8,69;;
ay.Py9dh=KlK9 t 0,43KG x27,90 12,OOr;"";27,90;;0,43;12,00;;KG
MimolettakG 1 nY,92KG 229,90 6,58C;Mimolettak 1,92KG;229,90;C;0,029;6,58;;KG
serserenadszwajcarKgY ,90 6,76;serserenadszwajcar Kg;28,90;;0,234;6,76;;KG
KSerToPiony100g t 1szT x2,19 2,19C;Ser To Piony 100g;2,19;C;1;2,19;;G
K.Ser Topiony 100g t 1SZT x2,19 2,19C;Ser Topiony 100g;2,19;C;1;2,19;;G
Smietana18%tł.400g t 2SZT x4,55 9,10C;Smietana 18% tł. 400g;4,55;C;2;9,10;;G
Śmiet.Łaciata18%330g t 2SZT x4,99 9,98C;Śmiet. Łaciata 18% 330g;4,99;C;2;9,98;;G
SerekHomog.150g t 4SZT x3,15 12,60C;Serek Homog. 150g;3,15;C;4;12,60;;G
4ct1y1aJogurt4x120g* t 1SZT x7,99 7,99C;Actiyia Jogurt 4x 120g;7,99;C;1;7,99;;G
ActiyiaJo9urt4x120g* t 1SZT x7,99 7,99C;Actiyia Jogurt 4x 120g;7,99;C;1;7,99;;G
SłynneMRRoślinne750gt 1SzT x10,99 10,99C;Słynne MRRoślinne 750g;10,99;C;1;10,99;;G
FantasiaJogurt102g t 4SzT x2,99 11,96C;Fantasia Jogurt 102g;2,99;C;4;11,96;;G
ActiyiaDoPicia2709* t 1SZT x4,69 4,69C;Actiyia Do Picia 2709;4,69;C;1;4,69;;SZT
ActiviaDoPicia270g* t 1SZT x4,69 4,69C;Activia Do Picia 270g;4,69;C;1;4,69;;G
GalbaniMozz* t 1SZT x12,89 12,89C;Galbani Mozz;12,89;C;1;12,89;;SZT
GalbaniMozz* t 1SZT x12,89 12,89C;Galbani Mozz;12,89;C;1;12,89;;SZT
PrimaveraWodaźród1L H 6SZT x1,75 10,50A;Primavera Wodaźród 1L;1,75;A;6;10,50;;L
Cebula żółta 1kg t 1SZT x3,99 3,99C;Cebula żółta 1kg;3,99;C;1;3,99;;KG
Kajzerka pszenna 55g t 6SZT x0,35 2,10C;Kajzerka pszenna 55g;0,35;C;6;2,10;;G
Bułka śniadaniowa 70g t 4SZT x0,99 3,96C;Bułka śniadaniowa 70g;0,99;C;4;3,96;;G
BasiaMąkaTortowaExtr t 4SZT x3,49 13,96C;Basia Mąka Tortowa Extr;3,49;C;4;13,96;;SZT
Cukier KryształBiałyi 10SZT x2,99 29,90B;Cukier Kryształ Białyi;2,99;B;10;29,90;;SZT
LubellaMakaronSpagh. t 1SZT x7,69 7,69C;Lubella Makaron Spagh.;7,69;C;1;7,69;;SZT
MajonezDekorac400ML i 1SZT x8,79 8,79B;Majonez Dekorac 400ML;8,79;B;1;8,79;;ML
GellwegalBorówka72g i 2SZT x1,99 3,98B;Gellwegal Borówka 72g;1,99;B;2;3,98;;G
KnorrFixSpaghettiBol i 3SZT x4,79 14,37B;Knorr Fix Spaghetti Bol;4,79;B;3;14,37;;SZT
MarsBaton51g H 2SZT x3,99 7,98A;Mars Baton 51g;3,99;A;2;7,98;;G
SnickersBaton50g H 2SZT x3,99 7,98A;Snickers Baton 50g;3,99;A;2;7,98;;G
BatMa9zorzWGorzCze* H 1SZT x3,59 3,59A;Bat Magzorz W Gorz Cze;3,59;A;1;3,59;;SZT
BatMagZOrzWGorzCze* H 1SZT x3,59 3,59A;Bat Mag Zorz W Gorz Cze;3,59;A;1;3,59;;SZT
CukierkiKopaln80g H 1SZT x3,79 3,79A;Cukierki Kopaln 80g;3,79;A;1;3,79;;G
23/OskrobaHotDog240g t 3SZT x3,99 11,97c;Oskroba Hot Dog 240g;3,99;C;3;11,97;;G
K.ChlebTost psą ,ż_ x3,49 10,47C;ChlebTost psą;3,49;C;3;10,47;;
MialsL.zt:UU9 t 1SZT x3 go o'A,;Mials;3,00;A;1;;;SZT
re|ohkalyrolska27Oo + 1czr ż, z,99C;"";5,99;C;1;;;""
IndykpolpaeńLx&żąY, t1S7 x5,89 5,89C;"";5,89;C;1;5,89;;""
"nnęY""""saoP0KalU09* t 1SZ27T x4,29 4'oA";"";4,29;A;1;4,29;;SZT
PolędwicaSopocka100g* t 1szr , 9a ź:14C;Polędwica Sopocka 100g;4,14;C;1;;;G
A_PIWO HOLBA 0,5 L 3 x 4,99 14,97A;PIWO HOLBA 0,5 L;4,99;A;3;14,97;;L
C_SEREK CAPRI 220G 3 x 4,00 12,00C;SEREK CAPRI 220G;4,00;C;3;12,00;;G
A_P%&S BLUE 100 1 x 19,99 19,99A;PS BLUE 100;19,99;A;1;19,99;;
A_WODA NIEGAZO.6-PAK 1 x 5,94 5,94A;WODA NIEGAZO. 6-PAK;5,94;A;1;5,94;;
ŁowickieUHT 3,2%t.1Lt 12SZT x3, 79 45,480;Łowickie UHT 3,2% t. 1L;3,79;0;12;45,48;;L
CMASŁO ŁACIATE 2ZOOG 12 x 9,99 119,88C;CMASŁO ŁACIATE 2ZOOG;9,99;C;12;119,88;;G
CHERBATNI. ZOO 2OOG 1 x 5,39 5,39C;CHERBATNI. ZOO 2OOG;5,39;C;1;5,39;;G
C_BUŁKI BUR6ER 220 G 1 x 5,09 5,09C;BUŁKI BUR6ER 220 G;5,09;C;1;5,09;;G
C_HAMBURGER 250G 1 x 3,99 3,99C;HAMBURGER 250G;3,99;C;1;3,99;;G
C_PASZTETO0WA 300G 1 x 2,89 2,89C;PASZTETO0WA 300G;2,89;C;1;2,89;;G
A_REGINA 10 SZT. 1 x 3,59 3,59A;REGINA 10 SZT.;3,59;A;1;3,59;;SZT
C_SEREK H0MO6,150G 3 x 2,79 8,37;SEREK HOMO, 150G;2,79;;3;8,37;;G
C_PUDDING 200G 2 x 2,35 4,70C;PUDDING 200G;2,35;C;2;4,70;;G
C_KAJZERKA 50 G 6 x 0,39 2,34C;KAJZERKA 50 G;0,39;C;6;2,34;;G
A_P8S BLUE 100 1 x 19,99 19,99A;PS BLUE 100;19,99;A;1;19,99;;
DA 0AZOWAN.3-FAK 1 x 7,14 7 19A;DA AZOWAN. 3-FAK;7,14;A;1;7,19;;
PLZ 3OLĄ 240 0 3 x 5,49 16 47C;PLZ OLĄ 240;5,49;C;3;16,47;;
M:RBATNI ZOO 2C0G 1 x 5,39 5 39;RBATNI ZOO 2C0G;5,39;;1;5,39;;G
JJA M 10SZT 2 x 8,99 1798;JJA M 10SZT;8,99;;2;17,98;;SZT
PRCRD3OŁ.KUR LUZ 0.642 x 7,5B 4 87C;PRCRD3OŁ. KUR LUZ;7,58;C;0,642;4,87;;
PRC RD3OŁ.KUR LUZ 0,496 x 7,5B 3 76C;PRC RDOŁ. KUR LUZ;7,58;C;0,496;3,76;;
BeTriso Special 20D t 3S2T x2,79 8,37C;Be Triso Special 20D;2,79;C;3;8,37;;SZT
Joyur c:aniliowy350g t 1SZTx279 2,79C e;Joyur caniliowy 350g;2,79;C;1;2,79;;G
K.Ser Topiony 100g t 2SZT x2,09 4,18C;Ser Topiony 100g;2,09;C;2;4,18;;G
Banany kg t 1,32KG x3,39 4,47C;Banany kg;3,39;C;1,32;4,47;;KG
Kajzerka pszenna 55g t 8SZT x0,35 2,80C;Kajzerka pszenna 55g;0,35;C;8;2,80;;G
GellweKwasekCytrynow H 2SZT x1,39 2,78A;Gellwe Kwasek Cytrynow;1,39;A;2;2,78;;SZT
K.Krem0rzechows75O i 1S2T x16,99 16,99A A;Krem Orzechows 75O;16,99;A;1;16,99;;SZT
KLC.Tymianek1OG i 1SZT x1,19 1,19B;KLC. Tymianek 1OG;1,19;B;1;1,19;;G
Galeo0regano8g t 1SZ x1,39 1,39C;Galeo Oregano 8g;1,39;C;1;1,39;;G
WiniaryRosołWoło180g t 3SZT x5,79 17,37C;Winiary Rosoł Woło 180g;5,79;C;3;17,37;;G
KinderBuenoBaton43g t 3SZT x3,79 11,37C o;Kinder Bueno Baton 43g;3,79;C;3;11,37;;G
K.ChlebTost.Psz5O0g t 2SZT x3,14 6,28C;Chleb Tost. Psz 5O0g;3,14;C;2;6,28;;G
MielonkaTyrolska270g t 1SZT x5,89 5,89C;Mielonka Tyrolska 270g;5,89;C;1;5,89;;G
STD.Parówki.Wp.750g t 1SZT x11,49 11,49C;STD. Parówki. Wp. 750g;11,49;C;1;11,49;;G
PasztetowaDrobiowa t 1SZT x2,79 2,79C;Pasztetowa Drobiowa;2,79;C;1;2,79;;SZT
MajonezDekorac7OOML 1 4S2T x14,99 59,96B;Majonez Dekorac 7OOML;14,99;B;4;59,96;;ML
KLC.TortillaPsze37Og t 2SZT x5,07 10,14;KLC. Tortilla Psze 37Og;5,07;;2;10,14;;G
K.ChlebTost.Psz5OOg t 2SŻT x2,99 5,98C;Chleb Tost. Psz 5OOg;2,99;C;2;5,98;;G
MielonkaTyrolska27Og t 1SZT x5,89 5,89C;Mielonka Tyrolska 27Og;5,89;C;1;5,89;;G
STDSzynkKonsKurc100g* t 1SZT x5,49 5,49C;STD Szynk Kons Kurc 100g;5,49;C;1;5,49;;G
