linijka;nazwa;ilość;cena_jedn;kategoria_podatku;jednostka;całkowita_cena
"MajonezDekorac4OOML i 2SZT x5,99 11,98B";Majonez Dekoracyjny 400ML;2;5,99;B;SZT;11,98
"KLC.TortillaPsze370g t 2SZT x4,82 9,64C";Tortilla Pszenna 370g;2;4,82;C;SZT;9,64
"OlejWielkopolski1l t 3SZT x8,49 25,47C";Olej Wielkopolski 1l;3;8,49;C;SZT;25,47
"KucharekRosółWołowy t 3SZT x4,19 12,57C";Kucharek Rosół Wołowy;3;4,19;C;SZT;12,57
"FamilijneWafle180g t 1SZT x4,49 4,9C";Familijne Wafle 180g;1;4,49;C;SZT;4,49
"FamilijneWafle180g t 1SZT x4,494,49C";Familijne Wafle 180g;1;4,49;C;SZT;4,49
"FamilWafGofWani130g t 1SZT x3,99 3,99C";Familijne Wafle Gofrowe Waniliowe 130g;1;3,99;C;SZT;3,99
"CukierkiKopaln80g H 1SZT x3,79 3,79A";Cukierki Kopalnioki 80g;1;3,79;A;SZT;3,79
"Nimm2Śmiejżelki100g H 1SZT x2,79 2,79A";Nimm2 Śmiejżelki 100g;1;2,79;A;SZT;2,79
"StorckDzunglaki9Og H 1SZT x2,79 2,79A";Storck Dzunglaki 90g;1;2,79;A;SZT;2,79
"Nimm2ŚmiejSłodSad90g H 1SZT x2,79 2,79A";Nimm2 Śmiej Słodki Sad 90g;1;2,79;A;SZT;2,79
"MambaGuma106g H 1SZT x3,59 3,59A";Mamba Guma 106g;1;3,59;A;SZT;3,59
"Bu#kiHambSezam30Og t 3SZT x6,65 19,95C";Bułki Hamb. Sezam 300g;3;6,65;C;SZT;19,95
"K.ChlebTost.Psz5OOg t 1SZT x2,99 2,99C";Chleb Tost. Psz 500g;1;2,99;C;SZT;2,99
"7DaysMaxRogalOrze6OG t 3SZT x2,99 8,97";7Days Max Rogal Orzech 60g;3;2,99;;SZT;8,97
"KLC.JajascM2Oszt t 36ZT x15,99 47,97C";Jaja M 20szt;3;15,99;C;SZT;47,97
" BieluchSzpinak150G t 1SZT x3,39 3,39C";Bieluch Szpinak 150G;1;3,39;C;SZT;3,39
"BieluchSzpinak15OG t 16ZT x3,39 3,39C";Bieluch Szpinak 150G;1;3,39;C;SZT;3,39
"SłynneMRRośl1nne75Og t 1SZT x9,99 9,99C";Słynne MR Roślinne 750g;1;9,99;C;SZT;9,99
"BieluchSzp1nak150G t 1SZT x3,39 3,39C";Bieluch Szpinak 150G;1;3,39;C;SZT;3,39
